day_of_week,temp_f,exam_week,promo,foot_traffic,drinks_sold,revenue,sold_out
Fri,64.1,0,1,908,20,73.0,1
Mon,40.1,0,0,877,21,79.75,0
Mon,38.0,1,0,1243,27,137.08,1
Thu,50.9,0,0,1442,35,140.86,0
Tue,68.6,0,0,1060,23,104.4,0
Wed,48.8,0,0,984,31,141.03,1
Mon,47.5,0,0,680,16,68.13,1
Tue,11.6,0,0,778,26,112.43,0
Thu,51.7,0,1,525,19,80.9,0
Tue,63.0,0,0,1004,25,94.03,1
Fri,65.1,0,0,548,19,76.04,0
Thu,64.9,1,0,1168,32,152.05,1
Thu,52.8,0,0,733,20,67.26,0
Fri,54.4,0,0,953,24,93.65,0
Thu,71.3,0,0,1014,23,100.39,0
Mon,55.8,0,0,485,21,93.89,0
Fri,21.2,0,1,700,42,174.84,1
Thu,74.3,0,0,979,19,74.85,1
Mon,40.8,0,0,1005,14,63.09,1
Tue,80.0,0,0,1076,10,44.93,0
Mon,85.1,0,0,825,8,33.84,0
Fri,70.2,1,0,975,25,113.05,0
Thu,72.5,0,0,1293,23,99.55,0
Fri,87.7,0,0,919,10,34.47,0
Tue,40.4,0,1,1081,26,119.96,0
Thu,62.1,0,1,842,24,114.98,0
Thu,61.8,0,1,569,21,84.63,1
Thu,42.5,1,1,1123,42,161.33,1
Mon,90.2,0,0,1020,16,52.23,0
Wed,48.7,0,0,1107,24,108.2,0
Thu,46.3,0,1,702,30,112.92,0
Fri,62.3,0,0,720,24,105.25,0
Thu,74.5,0,0,425,16,51.48,0
Wed,48.4,0,1,1023,23,102.24,1
Wed,48.4,1,1,1199,39,176.91,1
Tue,66.1,0,0,752,14,58.39,1
Mon,35.2,0,0,803,28,111.45,1
Tue,45.6,0,0,853,23,100.23,0
Mon,44.6,0,0,1250,21,73.42,0
Tue,51.1,0,0,1100,26,111.66,0
Fri,55.7,0,0,1126,32,129.89,0
Wed,87.5,1,1,988,30,154.49,1
Mon,72.5,1,0,922,20,65.81,0
Wed,58.4,0,1,1142,25,106.02,1
Tue,54.4,0,0,535,13,45.59,1
Thu,72.0,0,0,1013,18,80.63,0
Fri,64.9,0,1,589,20,94.2,0
Mon,72.3,0,0,1073,33,120.25,1
Wed,80.1,0,1,1012,17,87.28,1
Wed,41.9,0,0,704,22,85.9,0
Fri,22.0,0,0,923,30,121.52,1
Tue,57.7,0,0,650,24,91.0,1
Mon,59.3,0,0,669,19,51.47,0
Mon,62.6,1,0,933,25,106.28,0
Wed,48.4,0,0,732,19,63.45,0
Wed,54.3,0,0,1117,23,75.33,1
Tue,66.9,0,0,1358,15,75.71,1
Wed,67.8,0,0,900,21,100.11,0
Thu,79.3,1,0,1018,20,93.42,1
Tue,23.3,0,0,1063,36,137.68,1
Fri,31.6,0,0,804,26,121.26,1
Tue,81.4,1,0,1118,21,95.45,0
Fri,67.7,1,0,580,22,95.73,0
Fri,70.7,0,0,720,14,48.0,0
Fri,53.4,0,0,534,18,75.88,1
Thu,50.4,1,0,597,21,91.55,0
Wed,61.2,0,0,1107,23,91.03,0
Thu,43.0,0,0,831,31,124.27,0
Tue,33.5,0,0,1242,29,127.85,1
Tue,40.2,0,0,1228,32,139.19,0
Wed,59.9,0,0,883,16,82.26,0
Fri,68.2,0,0,780,10,37.77,0
Thu,84.4,1,0,851,19,70.65,0
Wed,63.9,1,0,480,18,82.72,0
Wed,65.6,0,0,779,18,54.81,1
Wed,85.0,0,0,836,22,80.1,0
Wed,45.6,0,1,749,24,111.79,0
Fri,42.7,0,0,658,20,102.13,0
Mon,49.4,0,0,877,15,67.74,0
Tue,56.5,0,0,815,30,126.33,1
Wed,90.4,0,0,926,19,74.8,0
