minutes,stops,packages,miles,downtown,rain,van_age_years,dispatcher_rating,month
254.3,49,105,55.6,1,0,8,3,7
153.5,24,71,32.0,0,0,5,5,2
450.9,73,226,55.4,1,1,7,4,4
387.1,71,175,73.2,1,0,1,1,12
111.2,12,18,32.1,0,1,7,1,11
136.7,20,47,21.5,0,0,5,1,11
164.1,21,43,29.0,1,1,3,1,6
192.8,20,56,32.8,1,0,3,2,8
311.7,46,157,63.9,0,0,1,5,11
222.8,31,82,31.2,1,1,2,2,1
256.7,40,135,49.6,0,0,2,1,11
199.3,23,70,39.5,0,0,8,3,12
438.9,71,202,65.4,1,0,8,3,2
279.1,52,105,38.0,0,0,6,5,6
316.7,52,139,39.2,1,0,3,2,7
66.6,15,28,22.0,0,0,2,5,1
165.6,18,50,33.1,0,0,7,3,3
401.8,68,178,70.2,0,0,2,2,10
200.8,29,92,38.6,0,0,2,2,10
389.7,65,178,54.2,0,1,5,2,1
424.5,60,97,90.3,0,0,7,3,4
88.9,8,23,20.5,0,0,2,1,4
247.3,39,116,41.6,0,1,4,1,9
307.3,44,148,62.0,0,0,6,3,6
233.3,39,79,47.5,0,0,8,5,12
116.1,15,30,23.8,0,1,2,4,10
378.2,56,151,83.0,0,0,4,5,10
212.0,25,54,42.2,1,0,8,1,6
188.2,31,56,56.5,0,0,6,4,8
252.8,35,73,64.7,0,0,8,2,11
194.7,27,98,33.3,0,0,4,3,7
240.8,38,84,47.0,0,0,6,5,2
432.6,64,130,91.5,1,0,2,3,2
259.9,39,94,51.3,1,0,6,2,6
286.4,57,144,56.2,0,0,1,4,4
450.0,70,219,60.7,0,0,3,2,6
174.8,22,65,27.5,0,0,5,5,2
221.8,25,68,50.5,1,0,7,4,5
256.8,45,113,33.4,1,0,6,5,12
190.3,20,54,31.6,0,0,1,5,5
317.6,54,117,58.6,0,0,8,3,10
326.6,52,98,77.8,1,1,2,2,6
403.1,53,183,63.5,0,0,3,2,3
367.4,71,168,61.9,1,0,7,2,5
281.6,36,110,47.8,1,1,8,2,12
475.6,69,168,97.0,1,1,7,1,1
409.8,73,183,43.5,1,0,7,3,12
383.1,66,164,69.0,0,0,8,5,2
250.3,28,52,52.4,1,1,7,3,6
143.1,12,28,24.6,0,1,5,3,9
452.3,65,179,67.6,1,0,8,5,12
476.3,70,202,86.3,1,1,8,4,10
207.4,30,86,39.3,0,0,6,1,1
360.9,51,156,81.1,0,0,3,2,11
130.8,19,48,42.2,0,0,2,4,9
432.1,66,169,66.6,0,0,4,1,12
404.0,64,103,75.6,0,1,8,1,1
244.2,35,81,34.4,1,0,8,1,2
370.2,60,192,62.5,1,0,8,1,9
144.1,22,58,19.2,0,0,7,2,7
461.6,72,209,73.1,0,0,7,1,10
363.3,61,146,48.0,0,0,1,2,9
387.5,62,145,91.4,0,0,5,2,5
354.1,52,183,45.6,0,0,4,4,1
144.5,11,25,25.6,0,0,4,4,9
363.4,60,194,46.8,1,1,8,1,2
358.3,55,151,72.0,0,1,2,2,7
131.7,21,56,26.1,1,0,2,5,9
376.4,65,99,100.5,1,0,5,5,7
120.2,17,45,21.0,0,1,8,3,11
240.7,34,62,53.6,1,0,6,1,3
356.7,59,92,76.4,0,0,4,2,9
365.4,59,181,47.2,0,1,2,1,10
126.6,9,23,21.7,1,0,5,2,11
184.5,24,66,31.3,0,0,1,5,10
467.2,71,180,106.7,0,1,3,2,9
284.4,45,115,31.7,1,0,3,4,11
149.4,17,46,32.6,0,1,6,4,5
214.2,30,77,32.5,1,1,1,4,3
264.9,48,122,35.7,1,0,7,1,12
84.9,8,20,6.4,0,0,8,4,12
194.1,36,52,42.7,0,0,8,1,3
209.9,24,64,33.6,0,1,2,4,7
199.8,29,64,49.9,0,0,6,5,1
375.8,50,149,87.4,0,0,8,3,1
133.4,19,57,24.7,0,0,3,3,9
355.1,69,146,61.5,0,0,6,3,1
392.2,60,173,63.4,1,0,7,2,11
308.4,51,144,62.6,0,0,8,5,10
405.7,69,150,72.9,0,0,3,1,6
83.9,13,32,7.8,0,0,8,5,8
384.2,56,142,56.2,0,0,1,4,5
377.6,67,107,78.3,0,0,8,5,10
285.9,48,112,48.5,0,0,3,1,9
280.1,44,114,48.8,0,1,8,1,3
363.5,55,125,56.4,0,0,7,3,8
340.2,56,99,64.6,1,0,1,2,11
309.5,43,93,80.2,1,0,2,4,10
340.2,43,138,63.0,0,0,2,4,2
345.3,45,142,65.9,0,0,8,3,7
364.0,56,139,73.3,1,0,4,4,2
346.9,68,144,56.1,0,0,6,1,5
425.3,62,157,85.6,0,1,8,3,9
182.5,26,67,36.8,0,0,7,3,7
418.4,66,145,102.0,0,1,3,1,9
168.2,22,53,24.9,0,1,3,1,7
342.2,51,145,56.7,1,0,1,5,9
418.6,71,209,69.2,0,0,1,5,10
441.1,73,101,91.2,0,1,6,4,8
464.7,71,209,70.4,1,0,2,2,1
427.1,61,157,76.3,0,1,4,2,11
264.6,39,113,48.1,0,1,3,1,3
141.9,15,38,13.2,0,0,3,1,7
365.0,61,164,51.8,0,0,6,2,5
416.5,63,198,70.4,0,1,4,2,6
300.1,57,61,53.1,0,0,4,5,10
353.0,46,153,68.2,1,0,6,1,2
442.3,71,184,96.3,0,0,3,4,6
235.7,31,56,48.8,0,0,2,5,4
89.1,13,16,3.0,0,0,3,3,5
510.4,72,195,100.9,1,0,6,5,3
390.3,68,140,59.1,0,0,1,4,12
346.2,53,154,46.5,0,1,1,4,1
268.0,41,107,38.7,0,1,2,1,6
452.2,72,180,111.6,0,0,7,5,2
219.0,38,119,30.4,1,0,7,3,3
416.1,71,185,52.8,1,0,2,5,10
393.3,54,152,63.2,0,0,7,2,11
396.3,73,207,26.1,1,1,5,3,12
314.1,49,132,48.0,0,0,1,2,11
246.8,29,86,52.6,0,0,4,1,9
243.8,37,106,39.3,1,0,6,1,6
320.1,49,92,53.6,1,1,4,3,3
178.3,27,67,25.4,0,0,8,1,7
185.2,16,41,28.6,0,0,3,4,11
509.2,69,162,126.4,0,1,7,2,11
320.5,61,104,67.2,0,0,4,2,7
387.7,62,138,84.1,0,0,5,1,2
217.7,39,109,27.1,1,0,2,1,6
119.4,14,36,29.5,0,0,2,3,1
449.3,69,227,86.7,0,0,7,3,1
200.7,35,79,41.1,0,0,6,1,12
148.0,16,36,16.4,0,0,6,4,12
362.6,59,133,55.8,0,1,4,5,7
236.0,32,77,52.0,0,0,7,4,5
432.9,66,145,82.7,0,0,3,5,1
282.6,48,80,31.6,0,0,6,5,12
475.2,72,190,88.5,0,1,6,2,12
100.8,18,57,24.6,0,0,1,5,3
198.5,24,71,31.2,0,0,6,5,4
454.7,72,145,90.2,0,1,5,4,1
359.9,67,157,70.1,0,0,6,3,2
457.0,74,243,53.1,1,0,2,4,2
276.9,54,132,32.7,0,0,8,3,6
452.6,74,194,81.9,1,1,1,4,10
120.2,12,28,17.7,0,0,6,5,11
392.3,61,181,72.9,1,0,3,3,3
150.9,22,66,23.8,0,0,6,5,8
86.2,10,31,23.4,0,0,2,4,6
185.0,20,54,29.1,1,0,6,2,11
130.2,21,59,36.5,0,0,3,1,9
101.0,13,23,15.9,0,1,5,2,8
225.3,35,77,30.2,0,0,1,2,7
321.1,54,116,60.8,0,0,5,4,11
304.6,53,130,57.8,0,0,4,2,8
140.2,28,54,33.2,0,0,6,2,5
307.3,39,124,63.0,0,0,6,1,3
321.7,54,108,52.3,0,0,6,1,5
380.4,57,153,77.9,0,0,3,4,12
108.7,13,21,27.9,0,0,7,1,5
386.6,53,140,83.0,1,0,5,3,7
443.7,66,215,72.3,0,0,7,2,1
116.9,19,46,37.1,0,0,2,1,9
337.5,54,145,51.5,1,0,2,5,2
195.8,25,65,24.3,1,0,8,2,12
429.6,60,156,80.6,1,0,2,1,5
150.6,26,69,38.9,1,1,8,3,12
306.9,48,110,54.0,0,0,2,5,4
218.4,26,67,31.8,0,1,1,3,9
244.4,38,89,34.4,0,1,3,2,4
361.6,57,125,52.5,0,0,2,4,11
135.6,20,37,30.9,0,0,4,3,2
148.6,19,62,23.7,0,0,8,4,5
440.4,71,154,99.1,0,0,8,2,1
363.8,61,175,56.0,0,0,5,2,8
140.1,17,49,17.5,0,0,4,5,8
270.9,46,89,53.6,0,0,4,4,6
296.5,42,119,51.1,0,0,4,4,4
216.3,37,73,24.7,0,0,3,5,5
123.2,16,44,32.6,1,0,1,1,4
289.5,37,120,58.8,0,0,4,5,10
55.4,15,32,9.6,0,1,4,2,12
311.4,48,102,66.1,1,1,2,5,3
296.0,54,108,54.3,0,0,7,1,7
265.2,41,143,49.0,0,1,3,1,11
391.0,67,153,60.1,0,0,5,5,3
339.3,56,108,47.6,0,0,4,1,4
288.6,38,105,49.7,1,1,5,1,7
452.2,69,167,88.9,1,0,3,4,4
328.8,61,153,52.0,0,0,1,1,12
179.7,21,42,39.9,1,0,4,5,3
351.5,65,95,64.3,1,0,5,1,2
221.7,36,77,42.1,1,0,1,5,11
251.7,43,83,39.4,0,0,2,4,1
147.0,26,43,32.7,0,0,1,2,9
372.1,59,121,100.8,0,0,1,4,10
344.6,60,125,41.6,1,0,5,2,5
158.2,27,73,22.5,0,0,5,4,1
281.0,41,115,44.8,0,0,7,2,10
124.6,18,50,30.7,1,0,2,5,9
128.9,15,36,17.6,0,0,3,5,11
166.1,20,41,37.6,0,0,2,4,7
197.9,29,79,34.0,0,0,2,3,11
67.4,8,22,20.7,0,0,3,4,7
275.3,33,97,59.6,1,0,4,3,10
94.7,12,29,16.5,1,0,7,1,6
343.9,53,132,52.0,0,0,5,2,12
372.5,58,155,62.6,0,0,2,5,7
202.9,31,70,43.5,1,1,5,1,9
414.3,68,148,74.4,0,0,5,3,11
137.4,14,37,17.7,1,0,2,3,4
124.8,11,17,33.5,0,0,2,3,6
144.5,17,38,28.0,1,0,2,3,6
402.1,56,157,93.6,0,1,4,2,10
378.6,50,132,65.5,1,0,1,4,3
401.2,60,157,76.0,0,1,2,3,6
178.0,28,50,19.4,0,0,7,3,10
335.0,53,129,61.3,0,0,2,1,2
455.5,74,178,111.8,0,0,8,4,12
278.5,41,116,44.2,0,0,7,1,9
132.1,18,53,21.1,0,0,8,2,3
274.4,40,100,51.6,1,0,5,5,8
107.8,12,39,21.2,0,0,3,3,5
323.3,54,147,59.4,0,0,4,5,11
240.1,41,93,45.1,0,0,6,1,10
151.9,24,51,29.8,0,1,5,4,6
444.2,63,161,97.8,1,0,3,3,12
335.9,58,137,60.3,0,0,8,3,7
310.8,46,153,51.8,1,0,3,1,5
130.3,20,56,33.1,0,0,4,2,4
213.8,27,63,43.5,0,0,1,4,10
96.7,10,23,17.6,1,0,2,2,5
109.5,16,27,16.9,0,0,3,3,9
422.5,70,169,65.2,0,0,8,5,8
260.6,39,123,44.4,1,1,4,1,4
135.6,14,40,27.8,1,0,1,2,8
406.6,60,149,85.8,0,0,6,5,2
201.1,21,49,24.3,1,0,3,4,10
288.3,48,83,50.1,1,0,1,1,10
114.2,11,34,23.8,1,0,4,2,6
333.2,57,129,41.1,0,1,2,1,5
89.3,8,23,25.5,0,0,3,3,12
280.1,47,115,61.0,1,0,7,1,1
140.3,16,42,25.3,1,1,6,3,8
211.5,37,94,28.3,0,0,8,2,10
442.0,69,154,96.0,0,0,7,2,7
298.5,52,167,76.1,0,0,4,1,6
330.2,54,144,44.8,0,1,6,4,4
392.4,71,190,36.8,0,0,7,2,1
235.6,35,92,35.2,1,0,7,2,3
180.6,25,59,40.5,1,0,8,5,4
105.5,8,19,20.0,1,1,6,4,6
398.3,62,164,111.4,0,0,6,1,9
388.3,63,206,51.7,1,0,1,4,3
250.5,42,109,44.7,1,0,6,3,5
284.1,40,110,47.5,0,0,4,2,5
163.1,22,55,17.3,1,0,4,1,6
383.8,65,154,75.1,0,0,6,1,12
314.1,58,139,65.6,0,0,4,2,5
288.4,41,129,50.8,1,0,4,5,8
325.1,53,137,46.7,0,0,8,4,11
105.5,13,42,26.6,1,0,6,1,3
485.0,73,176,106.0,1,0,8,3,2
117.3,12,34,19.9,1,1,3,4,9
149.0,19,40,29.9,0,0,5,2,11
369.5,60,173,47.8,0,1,2,5,9
291.5,46,161,34.8,1,0,4,1,3
144.2,22,50,27.9,0,0,5,5,1
268.8,32,104,45.8,0,1,1,4,8
166.7,18,54,34.5,0,0,5,5,1
