hours,volume_cuft,crew_size,miles,stairs_flights,packing_service,weekend,est_boxes,dispatcher_rating,quote_source,truck_id
7.83,557,3,7.9,1,0,0,37,5,web,T-5
10.88,662,2,23.6,2,0,1,51,5,web,T-4
16.0,1066,3,3.9,4,0,1,101,2,phone,T-2
11.37,845,2,4.7,0,0,0,76,2,referral,T-5
7.37,339,3,5.7,2,1,0,21,3,web,T-3
10.09,699,2,3.0,1,0,1,53,1,web,T-7
10.22,563,2,2.0,1,1,0,49,3,referral,T-5
11.74,733,2,34.9,1,1,0,49,1,referral,T-7
6.43,346,3,18.4,2,0,0,31,2,web,T-7
11.01,753,3,11.8,3,0,0,63,4,phone,T-6
9.64,752,4,21.8,1,0,0,56,3,phone,T-4
13.69,1047,4,24.5,0,0,1,84,5,web,T-1
9.22,770,3,10.5,0,0,1,61,5,referral,T-7
12.26,812,2,15.8,0,1,0,74,4,web,T-6
8.25,372,2,3.4,4,1,0,45,4,web,T-3
17.07,1196,3,11.3,3,0,0,113,1,referral,T-1
5.99,279,3,11.0,2,0,0,18,1,phone,T-3
12.2,942,3,6.5,3,0,0,71,5,phone,T-1
8.7,627,2,10.2,2,0,0,52,2,phone,T-2
8.94,506,2,2.4,3,0,1,57,4,web,T-6
6.68,556,3,4.1,1,0,1,43,5,referral,T-5
7.53,552,2,11.9,1,0,0,65,3,phone,T-3
10.86,784,3,15.8,1,0,0,67,1,phone,T-1
9.71,676,2,14.1,0,0,1,60,1,phone,T-5
13.74,1026,3,6.7,2,0,0,91,2,referral,T-6
5.47,297,2,12.7,2,0,1,22,3,referral,T-7
9.12,699,3,17.8,1,1,0,75,5,phone,T-5
7.95,504,2,20.5,2,0,1,44,5,referral,T-1
11.58,871,3,3.0,1,0,0,68,1,phone,T-7
5.18,234,2,23.6,2,0,1,15,1,phone,T-5
9.89,624,3,6.9,2,0,0,53,1,web,T-5
11.13,746,3,8.6,2,1,0,58,2,web,T-3
4.97,373,3,8.0,1,0,0,37,2,referral,T-7
12.48,917,3,47.2,1,0,0,68,3,web,T-1
12.38,739,3,2.8,1,1,0,63,3,referral,T-6
13.24,922,3,4.1,2,0,0,80,5,web,T-6
12.58,911,3,2.6,0,1,1,72,1,referral,T-2
6.47,484,2,31.6,1,0,0,41,1,referral,T-5
7.61,524,3,5.3,2,0,0,32,5,web,T-3
8.45,655,2,8.0,1,0,0,50,1,phone,T-7
12.0,865,3,31.0,1,0,0,71,5,referral,T-3
13.21,887,3,3.6,1,0,0,74,4,referral,T-6
8.91,544,2,13.1,0,1,1,39,2,phone,T-6
10.06,566,2,28.2,3,1,0,49,3,referral,T-1
9.45,524,3,1.0,1,1,0,56,4,referral,T-5
7.47,571,3,18.1,0,0,0,60,4,web,T-2
11.89,648,3,28.3,1,1,0,51,4,web,T-2
10.73,671,3,24.3,2,1,0,51,1,web,T-1
19.15,1153,2,24.2,1,1,1,101,4,phone,T-2
8.82,589,3,3.0,1,0,1,44,3,referral,T-4
8.84,636,2,10.8,0,0,0,54,2,web,T-3
12.08,801,3,21.3,1,0,0,76,5,phone,T-7
9.88,490,2,12.3,1,0,0,37,1,web,T-2
10.71,619,3,2.9,4,0,1,55,3,phone,T-5
11.06,703,2,10.3,0,0,1,54,5,phone,T-6
12.59,870,2,4.5,0,0,1,86,1,web,T-2
7.73,410,4,3.4,3,1,1,31,2,phone,T-2
12.52,1002,2,7.4,1,1,0,70,3,web,T-7
8.82,622,2,15.6,1,0,0,62,4,referral,T-2
11.25,737,2,3.1,3,0,0,60,4,phone,T-4
12.73,886,3,19.4,0,0,0,69,1,referral,T-3
12.55,845,2,3.7,1,0,0,73,3,referral,T-6
12.55,933,2,5.8,1,0,0,74,4,referral,T-5
10.88,738,2,8.7,0,1,0,55,4,referral,T-7
9.91,696,2,6.6,3,0,0,58,5,web,T-2
10.09,770,3,24.6,0,0,0,59,5,phone,T-2
8.09,481,2,7.5,0,1,0,44,2,referral,T-4
13.37,967,4,14.9,2,0,1,91,3,phone,T-5
7.7,529,3,12.6,1,1,1,51,1,referral,T-5
7.37,423,3,7.1,2,0,1,14,2,web,T-6
15.98,1152,2,14.7,0,0,0,98,1,referral,T-5
8.31,670,3,8.3,0,0,0,50,4,phone,T-6
7.92,441,3,8.6,0,1,0,42,3,referral,T-2
15.5,1107,2,3.8,0,1,0,94,2,web,T-5
8.83,627,3,16.5,1,1,1,51,1,phone,T-2
13.1,934,2,4.7,0,0,1,68,2,referral,T-2
8.22,518,2,15.2,1,0,0,45,5,referral,T-3
8.26,645,3,14.3,0,0,0,51,2,phone,T-2
6.15,329,3,7.2,4,0,0,19,3,phone,T-1
5.59,280,4,8.2,1,0,0,33,1,web,T-4
7.65,485,3,11.4,0,0,1,46,4,phone,T-2
8.21,683,4,9.0,1,0,1,44,3,web,T-6
12.09,876,4,8.0,3,0,0,73,1,phone,T-3
18.81,1234,2,10.8,1,0,1,107,4,referral,T-2
5.9,473,3,4.6,0,0,0,30,4,referral,T-4
13.13,922,3,14.0,0,1,0,74,4,phone,T-4
8.01,567,2,9.7,1,0,1,48,5,referral,T-7
10.79,666,2,5.1,2,0,0,54,4,referral,T-3
6.02,374,2,10.2,0,0,1,46,4,web,T-5
6.11,375,3,9.5,3,0,0,36,4,phone,T-3
9.14,529,2,1.0,0,0,0,40,3,web,T-4
6.1,438,3,12.0,1,1,1,27,5,phone,T-3
9.74,699,3,12.1,3,0,0,61,5,web,T-5
7.21,545,3,5.0,0,0,1,53,4,web,T-5
15.53,975,2,4.3,3,1,0,83,1,web,T-3
11.2,734,2,21.7,1,0,0,68,1,phone,T-3
8.89,736,4,7.1,0,1,0,59,5,web,T-5
12.93,950,3,8.5,2,0,0,73,3,referral,T-4
12.95,814,2,11.5,1,1,0,73,5,web,T-1
9.76,692,2,10.6,2,0,0,37,3,referral,T-4
8.83,680,4,11.8,0,1,0,61,2,phone,T-7
10.69,673,4,34.8,2,0,0,58,5,web,T-7
12.4,937,3,6.8,2,0,0,65,4,referral,T-3
14.03,872,2,15.9,0,1,0,68,2,phone,T-7
11.95,781,2,9.6,1,1,0,76,1,phone,T-2
12.53,876,2,14.2,1,0,0,70,1,phone,T-1
7.84,580,3,4.3,2,0,0,45,3,web,T-4
11.64,812,3,1.4,2,0,0,72,5,phone,T-5
6.19,389,2,9.6,0,0,0,33,4,phone,T-1
12.92,996,4,16.1,1,0,1,83,2,phone,T-3
11.39,720,2,4.0,2,0,0,70,3,phone,T-4
10.28,740,2,12.3,1,0,1,78,3,phone,T-2
12.74,832,3,7.9,1,1,0,62,4,referral,T-3
12.06,698,2,24.4,1,1,0,61,5,referral,T-7
9.31,644,3,10.9,1,0,0,49,2,phone,T-2
15.57,962,2,24.9,0,1,1,84,2,phone,T-2
12.1,725,3,8.9,2,0,1,62,5,web,T-4
7.92,499,2,10.7,2,0,0,52,3,web,T-5
10.82,797,3,10.1,1,1,0,61,3,phone,T-3
7.54,325,2,6.7,0,1,0,19,2,phone,T-2
14.56,1064,4,29.3,2,1,1,90,3,web,T-5
10.94,662,2,5.0,0,0,1,50,5,phone,T-3
9.71,710,3,2.2,0,0,0,65,4,phone,T-1
15.67,1197,2,12.7,0,0,1,111,3,phone,T-6
17.16,1173,4,28.6,0,1,1,92,5,web,T-1
11.37,725,2,14.3,0,1,1,75,4,phone,T-5
11.13,837,3,20.8,0,0,0,76,5,phone,T-4
13.03,940,4,3.6,1,1,0,84,4,phone,T-7
15.64,1070,2,8.5,0,1,0,92,3,web,T-5
8.46,671,3,3.9,0,0,1,71,3,web,T-5
11.29,730,4,3.3,1,1,1,49,4,web,T-3
14.94,969,2,5.3,0,0,0,77,4,referral,T-7
11.88,759,2,13.1,2,1,0,66,1,phone,T-4
11.85,866,3,2.9,0,0,1,83,1,phone,T-4
12.89,834,3,6.6,2,1,1,70,2,web,T-1
7.01,450,4,17.1,2,0,0,49,2,web,T-5
7.42,511,3,9.5,5,0,0,40,5,web,T-6
4.24,120,2,12.5,2,0,0,29,1,referral,T-1
9.91,643,2,7.3,1,0,0,53,2,web,T-6
15.85,995,2,4.1,2,0,0,71,1,web,T-1
8.0,456,2,3.1,1,1,0,14,1,referral,T-7
12.15,971,3,17.0,0,0,0,72,2,referral,T-3
11.85,920,3,1.6,1,0,0,77,4,referral,T-5
11.41,688,3,4.1,3,1,1,60,5,phone,T-4
9.66,698,2,19.7,0,0,0,56,1,web,T-3
11.63,718,4,8.8,1,1,0,57,3,phone,T-2
6.81,511,3,26.6,0,0,1,29,5,web,T-4
8.62,638,3,30.7,1,0,0,69,5,phone,T-3
7.64,690,3,7.8,0,0,0,61,5,web,T-1
11.52,835,4,30.6,0,0,0,75,5,referral,T-4
12.87,874,2,14.3,3,0,0,74,3,web,T-7
7.71,537,3,4.3,1,0,1,38,5,web,T-3
14.22,882,2,11.7,1,1,0,89,1,referral,T-3
9.07,529,2,28.2,2,0,0,50,4,referral,T-2
9.46,663,4,41.1,0,0,0,53,1,referral,T-1
10.57,781,2,6.0,0,0,1,66,1,phone,T-6
10.16,695,3,5.7,0,1,1,49,4,web,T-7
9.66,672,3,16.9,2,0,0,57,5,referral,T-4
9.31,759,3,7.8,0,0,0,68,4,web,T-3
10.14,578,2,11.2,1,1,0,34,4,web,T-4
7.29,556,3,22.0,1,0,0,45,4,referral,T-6
9.72,655,2,2.7,0,0,0,52,4,phone,T-1
13.47,911,3,1.3,1,0,0,79,4,phone,T-6
8.48,678,3,6.2,1,0,1,50,2,phone,T-1
16.57,1119,2,12.1,1,1,0,95,5,phone,T-7
10.11,747,2,9.8,2,0,1,69,5,referral,T-3
4.45,120,4,14.5,1,0,0,13,4,phone,T-7
8.78,603,2,18.9,1,0,0,57,4,referral,T-2
16.38,1066,4,31.5,0,1,1,86,1,web,T-4
9.09,701,2,16.6,1,0,1,64,3,phone,T-2
8.37,604,4,6.9,2,0,0,67,3,referral,T-5
6.6,508,3,9.4,1,0,1,43,3,referral,T-1
14.29,991,3,9.4,1,0,0,91,2,phone,T-5
12.74,921,4,1.5,0,1,0,78,4,web,T-3
14.03,848,2,5.5,6,0,0,81,5,referral,T-1
11.34,794,3,7.3,0,1,0,72,4,referral,T-7
14.07,1017,3,11.2,0,0,1,71,4,web,T-7
12.43,881,3,8.4,0,1,0,69,1,phone,T-2
9.43,429,2,9.2,2,1,1,36,1,web,T-4
12.16,869,2,15.8,0,0,1,88,3,referral,T-4
9.33,737,4,16.1,1,0,1,54,4,phone,T-4
7.63,676,4,19.6,0,0,0,51,2,referral,T-3
