user_id,variant,region,device,session_minutes,purchased
1,treatment,South,desktop,7.286,1
2,treatment,Midwest,mobile,1.034,0
3,treatment,South,mobile,4.375,0
4,control,West,mobile,2.227,0
5,control,Midwest,desktop,9.348,0
6,treatment,West,mobile,2.304,0
7,treatment,Mountain,desktop,1.831,0
8,treatment,South,mobile,2.055,0
9,treatment,Northeast,mobile,4.253,0
10,control,West,mobile,10.454,0
11,control,South,desktop,5.565,0
12,treatment,Mountain,mobile,7.012,0
13,control,South,desktop,7.99,1
14,treatment,Mountain,mobile,1.26,0
15,control,West,mobile,3.86,0
16,treatment,Midwest,mobile,6.014,0
17,treatment,West,desktop,2.746,0
18,treatment,Northeast,desktop,6.641,1
19,treatment,South,mobile,5.831,0
20,control,West,mobile,4.805,0
21,treatment,Midwest,mobile,4.012,0
22,control,West,mobile,2.377,0
23,treatment,South,mobile,3.826,0
24,control,South,mobile,1.933,1
25,control,Midwest,desktop,4.278,0
26,treatment,West,desktop,5.42,1
27,control,West,mobile,3.713,0
28,control,Mountain,mobile,1.926,0
29,control,South,desktop,1.345,0
30,treatment,West,mobile,3.224,0
31,treatment,West,mobile,4.99,0
32,treatment,Midwest,desktop,4.609,0
33,control,Midwest,mobile,3.576,0
34,treatment,West,desktop,2.385,0
35,treatment,Northeast,desktop,2.997,0
36,control,South,mobile,2.539,0
37,treatment,Northeast,mobile,4.089,0
38,treatment,South,desktop,1.598,1
39,treatment,West,mobile,2.121,0
40,treatment,West,mobile,3.715,1
41,control,South,mobile,2.658,0
42,treatment,West,mobile,6.929,1
43,treatment,Midwest,mobile,4.933,0
44,control,South,desktop,3.138,0
45,treatment,West,desktop,5.797,0
46,treatment,West,mobile,6.419,0
47,control,South,mobile,3.463,0
48,treatment,West,desktop,4.535,1
49,control,Midwest,desktop,12.338,0
50,control,Northeast,desktop,6.585,0
51,control,West,mobile,9.483,0
52,treatment,Mountain,mobile,7.257,0
53,control,Midwest,mobile,4.802,0
54,control,South,mobile,5.115,0
55,control,Midwest,mobile,4.08,0
56,control,Mountain,desktop,2.138,0
57,treatment,Northeast,mobile,21.508,0
58,treatment,South,desktop,2.138,1
59,treatment,Northeast,mobile,4.198,1
60,control,South,mobile,1.076,0
61,treatment,Northeast,desktop,5.447,0
62,control,South,desktop,1.311,0
63,treatment,Northeast,mobile,3.427,0
64,control,West,desktop,3.906,0
65,control,West,desktop,15.687,0
66,treatment,South,mobile,7.488,0
67,control,Northeast,mobile,3.228,0
68,treatment,South,mobile,11.915,0
69,control,Northeast,mobile,9.198,0
70,control,Northeast,desktop,4.937,0
71,treatment,Midwest,mobile,2.392,0
72,control,West,desktop,5.383,0
73,treatment,West,mobile,8.068,0
74,treatment,Midwest,mobile,5.958,0
75,treatment,Midwest,mobile,10.247,1
76,treatment,Northeast,mobile,4.259,0
77,control,West,mobile,2.783,0
78,treatment,West,desktop,5.735,0
79,treatment,Mountain,desktop,3.906,0
80,control,West,mobile,1.825,0
81,treatment,West,mobile,1.643,0
82,control,West,mobile,2.661,0
83,control,Northeast,desktop,8.254,0
84,control,Mountain,mobile,3.766,0
85,treatment,South,mobile,2.119,0
86,treatment,West,mobile,6.958,0
87,treatment,West,mobile,5.408,0
88,control,South,mobile,4.396,0
89,treatment,South,mobile,6.877,0
90,control,Midwest,mobile,4.453,0
91,control,Midwest,mobile,2.77,0
92,treatment,Northeast,mobile,3.943,0
93,control,Northeast,mobile,0.825,0
94,treatment,West,mobile,21.896,0
95,treatment,South,mobile,3.481,0
96,treatment,Mountain,mobile,0.706,0
97,treatment,West,desktop,6.511,0
98,control,Mountain,mobile,2.483,1
99,control,Midwest,mobile,1.93,1
100,treatment,Northeast,desktop,3.539,0
101,treatment,West,desktop,13.038,1
102,treatment,Northeast,mobile,3.248,0
103,treatment,West,mobile,8.794,0
104,treatment,South,mobile,2.625,0
105,treatment,West,desktop,6.724,0
106,treatment,West,mobile,3.683,0
107,treatment,West,mobile,3.419,1
108,control,West,desktop,4.259,0
109,treatment,Midwest,desktop,6.507,0
110,control,Mountain,desktop,7.266,0
111,control,Northeast,mobile,2.626,0
112,treatment,Mountain,mobile,8.559,0
113,control,Northeast,desktop,9.993,0
114,treatment,West,mobile,0.998,0
115,treatment,South,mobile,0.607,0
116,control,South,desktop,3.553,0
117,control,Mountain,mobile,3.034,0
118,treatment,Mountain,desktop,4.447,0
119,treatment,West,mobile,4.599,0
120,treatment,South,mobile,3.88,0
121,control,Northeast,desktop,2.896,0
122,treatment,South,mobile,4.148,0
123,treatment,Northeast,mobile,4.464,0
124,treatment,South,mobile,7.941,0
125,treatment,South,mobile,10.817,0
126,control,West,desktop,1.987,0
127,control,West,mobile,2.667,1
128,control,West,mobile,6.404,0
129,control,Northeast,mobile,6.679,0
130,treatment,West,mobile,6.833,0
131,control,Northeast,desktop,3.565,0
132,control,West,mobile,3.205,0
133,treatment,South,mobile,6.042,0
134,control,South,mobile,9.61,0
135,control,West,mobile,1.53,0
136,treatment,Midwest,mobile,4.433,0
137,treatment,West,mobile,4.763,1
138,control,West,mobile,5.313,1
139,treatment,West,desktop,1.867,0
140,treatment,South,mobile,1.094,0
141,treatment,Midwest,desktop,3.028,0
142,control,Northeast,desktop,5.453,0
143,control,Northeast,mobile,9.355,0
144,control,Mountain,mobile,1.961,0
145,treatment,Mountain,mobile,14.147,0
146,control,Mountain,desktop,1.955,0
147,control,Midwest,desktop,3.211,0
148,treatment,Midwest,desktop,8.573,0
149,control,West,mobile,5.727,1
150,control,Midwest,mobile,20.729,0
151,control,Mountain,desktop,2.642,1
152,treatment,West,desktop,4.539,0
153,treatment,West,desktop,7.016,0
154,control,Northeast,mobile,6.041,0
155,treatment,West,desktop,4.797,0
156,control,South,mobile,1.226,0
157,control,South,desktop,13.809,0
158,control,Mountain,mobile,8.098,0
159,treatment,West,mobile,8.349,0
160,control,West,mobile,2.51,0
161,treatment,West,desktop,13.529,0
162,treatment,West,desktop,15.784,0
163,treatment,Midwest,mobile,7.53,0
164,control,West,mobile,1.049,0
165,treatment,Midwest,mobile,1.788,0
166,treatment,South,mobile,8.241,0
167,treatment,Mountain,desktop,6.765,0
168,treatment,South,mobile,4.657,0
169,treatment,South,mobile,5.652,0
170,control,South,mobile,1.376,0
171,control,South,mobile,3.424,1
172,treatment,West,mobile,9.535,0
